pkt arrive time in UTC,Lable,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605056864.43306,0,1.00028,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,27,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056864.81077,0,1.00040,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,25,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056865.17485,0,1.00046,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,24,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056865.40020,0,1.00034,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,27,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056865.43392,0,1.00086,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,28,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056865.81146,0,1.00069,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,26,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056866.17502,0,1.00017,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,25,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056866.40044,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,28,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056866.43396,0,1.00004,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,29,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056866.81179,0,1.00033,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,27,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
